epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1611.8,2.15922,2.94082,1.67679,0.5472,0.43671,0.45012,0.16053,2.10633,3.00711,1.70851,0.000664564,0.000664564,0.000664564
2,3210.45,2.15647,2.10909,1.73155,0.51792,0.49638,0.47754,0.18241,2.18701,2.03744,1.89582,0.00130487,0.00130487,0.00130487
3,4813.07,2.18701,2.00031,1.79825,0.55316,0.49684,0.50425,0.18363,2.1028,1.91882,1.83225,0.00191878,0.00191878,0.00191878
